feature_index,importance
9,0.83857465
30,0.0050832527
32,0.005070877
31,0.0050373557
27,0.0049151606
18,0.004905273
37,0.0048720604
36,0.0048619537
34,0.004842982
15,0.004794821
10,0.0047737528
13,0.0047271396
20,0.0046991683
21,0.004641841
33,0.0045838854
3,0.0045540994
35,0.004516298
25,0.0045146183
11,0.004497782
24,0.0044644047
19,0.004414333
1,0.0043614507
23,0.004346156
26,0.004338014
5,0.0043292725
12,0.0042979037
14,0.0042686802
0,0.004258329
16,0.0042558145
4,0.004250435
22,0.004124904
17,0.0041212756
2,0.0040837745
6,0.004058267
7,0.0039500115
28,0.0038399133
29,0.003770098
8,0.0
